Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
Vw Golf S 1.4 Tsi 5 door 2009 Grey,"2,330.00",2009,97424,Petrol,Manual,1.4,5,Grey,Hatchback,https://www.ebay.co.uk/itm/324812490913?hash=item4ba05548a1:g:-fYAAOSwZaJhWFnC, 5 Oct 2021
Volkswagen Golf GtI mk5 dsg auto ULEZ exempt,"3,350.00",2005,134900,Petrol,Automatic,2,5,Grey,Hatchback,https://www.ebay.co.uk/itm/265337442214?hash=item3dc7580fa6:g:T2oAAOSwjYthVcek, 5 Oct 2021
VW Golf 1.6 tdi bluemotion 5 door hatchback,"5,713.00",2014,77000,Diesel,Manual,1.6,5,Blue,Hatchback,https://www.ebay.co.uk/itm/194400686542?hash=item2d432f11ce:g:Y7UAAOSwLFthVCbZ, 6 Oct 2021
Vw golf mk4 gti tdi 25th anniversary ,"5,150.00",2002,120000,Diesel,Manual,1.9,3,Silver,Hatchback,https://www.ebay.co.uk/itm/144219143495?hash=item2194217d47:g:v6UAAOSw5QJhUF-i, 6 Oct 2021
Volkswagen Golf R32,"5,100.00",2006,15000,Petrol,Manual,3.2,,Black,Hatchback,https://www.ebay.co.uk/itm/265335592810?hash=item3dc73bd76a:g:jeoAAOSwfcVhVFJh, 6 Oct 2021
Volkswagen Mk4 Golf Match TDI,"1,300.00",2003,96875,Diesel,Manual,1.9,5,Silver,Hatchback,https://www.ebay.co.uk/itm/234216658261?hash=item3688669555:g:wYYAAOSw~BdhWevF, 6 Oct 2021
Volkswagen Golf 1999 1.6 Petrol,"1,000.00",1999,88000,Petrol,Manual,1.6,5,Black,Hatchback,https://www.ebay.co.uk/itm/224629387555?hash=item344cf47123:g:yl4AAOSwjUNhVJX7, 7 Oct 2021
VW Golf Plus Automatic,"2,000.00",2008,51000,Petrol,Automatic,1.4,5,Blue,Hatchback,https://www.ebay.co.uk/itm/324820372491?hash=item4ba0cd8c0b:g:j0UAAOSwXlNhXvY3, 7 Oct 2021
vw golf mk4 v5 2.3,500.00,2002,224363,Petrol,Manual,2.3,3,Black,Hatchback,https://www.ebay.co.uk/itm/234206881031?hash=item3687d16507:g:uSAAAOSwAg1hPhXV, 7 Oct 2021
VW Golf 2.0 Tdi estate 2008,"3,201.00",2008,85500,Diesel,Automatic,2,5,Silver,Estate,https://www.ebay.co.uk/itm/274964415803?hash=item400528053b:g:ZuAAAOSwlophUfwZ, 7 Oct 2021
vw golf gti mk5 ,"2,495.00",2006,129000,Petrol,Manual,2,3,Red,Hatchback,https://www.ebay.co.uk/itm/224596360438?hash=item344afc7cf6:g:k08AAOSwHMlhOhIk, 10 Sep 2021
VW Golf 1.4TSI Petrol - FSH - Superb Condition,"2,050.00",2009,125000,Petrol,Manual,1.4,5,Silver,Hatchback,https://www.ebay.co.uk/itm/324776623179?hash=item4b9e31fc4b:g:rnUAAOSwQA1hMm7e, 10 Sep 2021
2011 Volkswagen Golf 1.6 TDI BlueMotion Tech Match Final Edition,"2,500.00",2011,130000,Diesel,Manual,1.6,5,Red,Hatchback,https://www.ebay.co.uk/itm/224593204417?hash=item344acc54c1:g:N1EAAOSwhAdhLyc9, 11 Sep 2021
VW Golf 1.6 TDI estate bluemotion ,"1,500.00",2012,163000,Diesel,Manual,1.6,5,Blue,Estate,https://www.ebay.co.uk/itm/274933920417?hash=item400356b2a1:g:FsEAAOSwV9NhM3un, 11 Sep 2021
"VOLKSWAGON GOLF PLUS LUNA 1.9 TDI - 2008 PLATE -GENUINE 76,000 MILES ONLY ***","1,722.00",2008,76765,Diesel,Manual,1.9,5,Black,Hatchback,https://www.ebay.co.uk/itm/304135548114?hash=item46cfe42cd2:g:NmEAAOSwj6BhNiG1, 11 Sep 2021
